species	class	subclass	0percent	1percent	2percent	3percent	4percent	5percent	6percent
phydis	Unknown	Unknown	1.2411617350219e-06	0	1.95721658214992e-06	7.49470739993993e-06	0	8.21076224706795e-06	2.96446706711e-05
phydis	Other	Other	0	0	0	0	0	0	0
phydis	DNA	CMC	2.23886482202027e-05	9.40418699228131e-06	7.27034354783982e-05	9.03183847177474e-05	6.05782400670304e-05	0.000110224709467906	0.000174956067648279
phydis	DNA	Crypton	0	0	0	0	0	0	9.83381990055812e-06
phydis	DNA	Ginger	1.71853163310724e-06	0	4.24859209295958e-06	0	0	7.39923342032286e-06	2.38684949042673e-06
phydis	DNA	Harbinger	6.58770459357777e-06	0	1.48462038304543e-05	1.99063247501589e-05	1.77581602087749e-05	5.40382724632611e-05	7.21305916006957e-05
phydis	DNA	hAT	0.000244699809758548	0.000542674100143421	0.00147502524809391	0.00448732477899206	0.00962654589080947	0.0146901516107702	0.0220020263397434
phydis	DNA	Kolobok	1.661247245337e-05	0	4.05764413372544e-06	2.55870265373745e-05	1.26980392890702e-05	3.7234852050657e-05	4.93600474620247e-05
phydis	DNA	Maverick	8.21076224706795e-06	0	7.25602245089725e-06	2.21977002609686e-05	1.21251954113678e-05	3.72825890404655e-05	6.15329798632011e-05
phydis	DNA	DNA	7.39923342032286e-06	1.23638803604105e-05	8.15825155827856e-05	0.000103780215843754	0.000201736518930867	0.0004625714312447	0.000737584229531668
phydis	DNA	Merlin	1.67079464329871e-06	6.68317857319484e-07	2.14816454138406e-06	2.76874540889501e-06	2.67327142927794e-06	5.77617576683268e-06	5.68070178721561e-06
phydis	DNA	MULE	2.35343359756075e-05	0	1.11704556151971e-05	2.80693500074183e-05	3.72825890404655e-05	5.50407492492404e-05	7.13190627739507e-05
phydis	DNA	P	1.47984668406457e-06	0	4.0099071439169e-06	6.06259770568389e-06	2.14816454138406e-06	5.91938673625829e-06	7.8766033184082e-06
phydis	DNA	PiggyBac	0.000239735162818461	9.38031849737704e-05	0.000337214096007488	0.00120430877888971	0.0010979507655963	0.000186603893161562	0.000365760815912992
phydis	DNA	TcMar	0.000267947723795305	4.25336579194043e-05	0.000389724784796876	0.000908912285954498	0.00162649471675639	0.00363440798208297	0.00901059551130994
phydis	DNA	Zator	0	0	1.76626862291578e-06	0	0	1.81400561272431e-06	1.62305765349018e-06
phydis	DNA	Dada	2.14816454138406e-06	0	1.57532066368164e-06	3.29385229678889e-06	4.86917296047053e-06	5.72843877702415e-06	6.96960051204605e-06
phydis	RC	Helitron	1.99540617399675e-05	0	4.05764413372544e-05	2.98356186303341e-05	6.09123989956901e-05	7.036432297778e-05	0.000128173817635915
phydis	LTR	DIRS	0	1.71853163310724e-06	0	2.25318591896283e-05	5.63296479740708e-06	1.42733599527518e-05	2.68281882723964e-05
phydis	LTR	Ngaro	1.33663571463897e-06	0	2.29137551080966e-06	6.3490196445351e-06	4.34406607257665e-06	6.11033469549243e-06	8.54492117572769e-06
phydis	LTR	Pao	1.41301489833262e-05	1.52758367387311e-06	1.28889872483043e-05	3.41319477131022e-05	1.48939408202628e-05	4.071965230668e-05	6.75478405790764e-05
phydis	LTR	Copia	3.19837831717182e-05	0	3.1076780365356e-05	0.000132279198759449	3.85237507754874e-05	0.000149225830141479	0.000240451217665589
phydis	LTR	Gypsy	9.05570696667901e-05	2.67327142927794e-06	5.16036859830259e-05	0.000246131919452804	0.00016321276815538	0.000356643050859562	0.000766894741274108
phydis	LTR	ERVL	1.44165709221774e-05	1.2411617350219e-05	6.85980543548642e-05	0.000142113018660007	0.000654474130275009	0.00172989303668168	0.00231834691005148
phydis	LTR	LTR	0	0	5.2510688789388e-06	2.91195637832061e-06	0	3.58027423564009e-06	0
phydis	LTR	ERV1	0.00903202941973398	0.00302709799773879	0.00563625864970387	0.00922770334095916	0.00612164836207705	0.00434124959017794	0.0050563974344996
phydis	LTR	ERV	5.91461303727743e-05	9.87200949240495e-05	0.000188131476835435	0.000286708360790059	0.000524724991975412	0.00115509194239711	0.00314462646664741
phydis	LTR	ERVK	3.28907859780803e-05	2.15293824036491e-05	2.24841221998198e-05	8.88385380336828e-05	0.000263937816651388	0.00104501044389863	0.00302318356457449
phydis	LINE	L1	0.00255579069735913	0.139338353864376	0.146503532823668	0.157744161813883	0.221106423126548	0.202951759480423	0.187100166907611
phydis	LINE	LINE	0	0	0	0	0	0	1.52758367387311e-06
phydis	LINE	RTE	4.48727704200225e-06	0	3.48480025602302e-06	1.99063247501589e-05	6.01486071587536e-06	2.95014597016744e-05	5.5900015065794e-05
phydis	LINE	CR1	4.10538112353397e-06	1.43210969425604e-06	5.82391275664122e-06	2.94537227118658e-05	1.08362966865373e-05	1.51326257693055e-05	3.18883091921011e-05
phydis	LINE	Rex-Babar	3.19837831717182e-06	0	0	3.24611530698035e-06	4.05764413372544e-06	1.67079464329871e-06	9.64287194132398e-06
phydis	LINE	L2	1.22684063807934e-05	0	2.87376678647378e-05	6.51609910886497e-05	3.57072683767839e-05	0.000156338641622951	0.000179586555659707
phydis	LINE	Proto2	0	0	0	1.33663571463897e-06	1.43210969425604e-06	1.76626862291578e-06	0
phydis	LINE	R1	1.2411617350219e-06	0	0	7.49470739993993e-06	0	7.7333923489826e-06	6.30128265472656e-06
phydis	LINE	Jockey-I	7.39923342032286e-06	8.11528826745088e-06	9.54739796170692e-06	4.63048801142785e-06	0	1.68034204126042e-05	2.78306650583757e-05
